SL NO,From Date,PM2.5,PM10,NO,NO2,Nox,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,MP-Xylene,WS,WD,SR,BP,AT,RF
17359,10-03-2021 13:00,58.33,91.2,0.05,10.09,4.68,0.52,25.23,0.65,24.23,0.01,None,0.06,1.91,89.99,472.07,861.44,26.11,0
17360,10-03-2021 14:00,55.33,88.19,0.14,11.07,5.08,0.28,25.09,0.64,23.28,0,None,0.02,1.3,112.14,362.97,None,28.3,0
17361,10-03-2021 15:00,50,89.89,0.4,12.77,6.11,0.05,24.52,0.56,23.52,0.01,None,0.05,1.56,102.44,181.92,902.55,27.12,0.29
17362,10-03-2021 16:00,43.67,106.78,0.04,14.16,6.59,0.04,24.38,0.55,24.26,0.01,None,0.05,1.52,83.15,57.48,None,26.67,0
17363,10-03-2021 17:00,45.72,110.5,1.24,25.86,13.18,0.19,24.25,0.55,23.71,0,None,0.05,1.07,90.54,1.33,None,24.16,0
17364,10-03-2021 18:00,54,111,6.77,39.26,24.17,None,25.42,0.61,20.95,0.01,None,0.06,0.5,127.17,None,None,23.31,0
17365,10-03-2021 19:00,77.19,137.65,3.17,33.04,18.43,0.02,25.62,0.74,20.61,0.01,None,0.07,0.92,99.31,None,None,23.04,0
17366,10-03-2021 20:00,69.61,128.97,6.1,31.39,19.69,0.07,25.8,0.81,20.6,0.01,None,0.09,0.87,82.75,None,None,22.9,0
17367,10-03-2021 21:00,50.67,104.6,4.17,34.04,19.65,None,25.92,0.88,20.33,0.01,None,0.1,0.93,106.48,None,None,22.41,0
17368,10-03-2021 22:00,60.79,106.66,4,22.27,13.79,0.04,25.86,0.95,19.59,0.01,None,0.04,0.7,162.26,None,None,21.69,0
17369,10-03-2021 23:00,67,123,0.89,14.55,7.73,0.03,25.64,0.97,19.53,0.01,0.01,0.07,0.81,106.11,None,None,21.16,0
17370,11-03-2021 00:00,48.83,83.42,0.21,8.74,4.02,0.44,25.64,0.86,19.91,0.01,None,0.1,0.84,101.44,None,None,20.57,0
17371,11-03-2021 01:00,42.38,74.4,0.27,9.48,4.75,0.53,25.86,0.78,20.35,0.02,None,0.08,0.5,153.64,None,None,20.09,0
17372,11-03-2021 02:00,41.4,80.6,0.19,9.52,4.61,0.45,25.92,0.7,19.69,0,None,0.08,1.43,81.07,8.22,893.04,19.38,0.32
17373,11-03-2021 03:00,41.47,78.72,0.14,7.88,3.83,0.51,25.89,0.63,19.82,0,None,0.08,0.47,149.17,None,None,19.62,0
17374,11-03-2021 04:00,41.22,62.78,0.05,7.85,3.6,0.51,25.79,0.52,21.98,0.01,None,0.06,3.95,243.4,None,None,19.22,0
17375,11-03-2021 05:00,35.92,60.6,0.18,8.56,3.78,0.57,25.73,0.4,22.35,0.01,None,0.03,1.4,196.21,7.81,None,17.88,0
17376,11-03-2021 06:00,15.42,27.2,0.03,9.43,4.33,0.83,25.87,0.4,20.61,0,None,0.02,0.94,144.47,34.85,None,18.12,0
17377,11-03-2021 07:00,19.78,29.55,0.2,9.93,4.92,0.83,25.98,0.37,20.25,0,None,None,0.95,95.83,192.15,None,19.67,0
17378,11-03-2021 08:00,23.53,34.76,0.41,12.13,6.02,0.51,25.78,0.38,19.9,0.01,None,0.03,1.24,91.93,257.88,None,22.17,0
17379,11-03-2021 09:00,29,40.86,0.07,9.93,4.68,0.7,25.82,0.39,20.26,0,None,0.03,1.07,106.11,512.8,None,23.42,0
17380,11-03-2021 10:00,28.33,45.86,0.29,10.37,4.97,0.5,25.41,0.4,21.75,0,None,0.03,1.11,100.55,653.13,None,25.71,0
17381,11-03-2021 11:00,24.89,51.83,0.01,8.15,3.41,0.47,25.63,0.4,23.97,0,None,0.04,2.45,90.4,687.5,None,25.6,0
17382,11-03-2021 12:00,23.4,67.4,1.83,11.43,5.77,0.29,25.63,0.4,23.61,0,None,0.03,2.54,82.19,656.76,None,26.18,0
17383,11-03-2021 13:00,23,48.97,None,7.9,3.43,0.3,25.13,0.4,24.68,0.01,None,0.02,2.22,72,566.05,None,26.82,0
17384,11-03-2021 14:00,29.61,56.42,0.06,8.85,3.91,0.39,25.14,0.41,23.76,0.01,None,None,2.59,94.34,395.97,893.41,27.48,0.32
17385,11-03-2021 15:00,26.15,51.83,None,8.57,3.58,0.31,24.58,0.39,21.71,0.01,None,None,1.46,96.55,241.27,None,27.43,0
17386,11-03-2021 16:00,25.89,50.78,0.18,11.96,5.41,0.06,23.84,0.39,23.54,0.02,None,0.03,1.6,92.87,83.24,None,26.46,0
17387,11-03-2021 17:00,31.84,63.88,0.83,17.88,8.81,0.06,24.19,0.43,23.45,0.04,None,0.03,1.41,81.87,7.47,879.81,24.4,0.36
17388,11-03-2021 18:00,44.45,75.08,0.12,23.01,10.91,0.04,25.38,0.49,22.26,0.03,None,0.04,0.72,107.94,None,None,24.28,0
17389,11-03-2021 19:00,53,95.6,7.06,49.63,29.36,0.03,25.41,0.58,21.59,0,None,0.06,1.33,92.11,8.22,894.43,22.87,0.32
17390,11-03-2021 20:00,71.86,141.19,20.49,42.34,35.89,None,25.37,0.72,20.94,0.01,None,0.07,0.52,90.01,None,None,22.5,0
17391,11-03-2021 21:00,104.25,208.75,6.17,23.5,16.09,0.09,25.25,0.97,19.76,0.01,None,0.09,0.6,82.26,None,None,22.06,0
17392,11-03-2021 22:00,96.83,187.4,2.49,16.8,9.38,0.5,25.01,1.09,19.65,0.01,None,0.11,0.73,97.44,None,None,21.56,0
17393,11-03-2021 23:00,42.37,85,6.71,23.88,16.59,0.05,24.94,1.1,19.38,0,None,None,1.45,83.67,5.98,894.97,18.65,0.86
17394,12-03-2021 00:00,61.05,139.22,36.23,27.89,40.58,0.02,24.91,1.08,19.04,0.02,0.02,0.12,0.56,106.78,None,None,20.4,0
17395,12-03-2021 01:00,75.58,251.8,21.88,15.82,24.05,0.12,25.26,1.06,19.01,0.01,0.01,0.12,0.41,94.15,None,None,19.86,0
17396,12-03-2021 02:00,77.62,206.2,43.37,19.51,41.9,0.49,25.42,1.05,19.16,0.01,0.01,0.12,0.39,122.94,None,None,19.44,0
17397,12-03-2021 03:00,65.11,182.12,40.46,15.26,37.62,0.32,25.91,1,19.05,0.01,None,0.13,0.5,118.09,8.22,895.04,18.69,0.32
17398,12-03-2021 04:00,61.11,130.61,42.99,14.05,38.89,0.42,25.7,0.95,18.94,0.01,None,0.11,0.51,126.28,None,None,18.95,0
17399,12-03-2021 05:00,54.77,128.39,43.73,14.17,39.51,0.49,25.77,0.9,19.02,0.01,None,0.12,0.44,86.66,5.67,None,18.74,0
17400,12-03-2021 06:00,65.69,161.6,46.99,13.75,41.75,0.71,25.92,0.86,19.03,0.01,None,0.12,0.5,96.48,56.58,None,19.46,0
17401,12-03-2021 07:00,94.89,160.42,42.17,16.91,39.63,0.46,25.61,0.85,18.73,0,None,0.03,0.55,106.65,181.44,None,22.07,0
17402,12-03-2021 08:00,93,153.03,16.51,19.28,21.69,2.25,25.79,0.82,18.77,0.01,None,0.11,0.77,154.14,331.34,None,23.66,0
17403,12-03-2021 09:00,89.64,145,8.9,16.31,14.55,1.25,25.42,0.75,19.02,0.02,None,0.09,1.94,130.72,477.97,898.66,23.96,0.32
17404,12-03-2021 10:00,58.3,96.4,0.32,11.34,5.42,1.36,25.43,0.69,19.56,0.01,None,0.08,2.02,75.94,590.25,973.7,25.46,0.29
17405,12-03-2021 11:00,60.7,93.33,0.03,8.87,3.85,0.67,24.63,0.65,21.44,0.01,None,0.07,1.71,88.17,677.22,None,27.56,0
17406,12-03-2021 12:00,43.73,73.2,0.02,8.34,3.57,0.2,24.24,0.59,23,0.01,None,0.06,1.81,103.64,671.46,None,28.82,0
17407,12-03-2021 13:00,35,70,0.02,7.81,3.46,0.02,24.36,0.55,23.22,0.01,None,0.05,1.5,135.06,574.24,880.86,29.08,0.36
17408,12-03-2021 14:00,36.6,72.4,0.02,7,2.92,None,23.99,0.49,23.68,0.01,None,0.04,1.86,154.64,443.37,905.25,30.3,0.29
17409,12-03-2021 15:00,43.22,78.61,0.11,8.4,3.94,None,24.04,0.46,23.24,0,None,0.01,1.39,290.31,270.78,None,31.24,0
17410,12-03-2021 16:00,44.45,87.89,0.23,13.48,6.11,None,24.02,0.46,23.4,0.01,None,0.03,1.25,174.1,99.22,None,29.93,0
17411,12-03-2021 17:00,47.25,105.89,0.01,20.41,9.3,None,23.96,0.49,22.45,0.01,None,0.04,0.73,122.14,8.65,None,27.69,0
17412,12-03-2021 18:00,87,143.56,1.58,56.92,28.81,None,24.36,0.64,21.52,0.01,None,0.04,0.41,129.58,None,None,25.82,0
17413,12-03-2021 19:00,185.88,296.94,28.17,58.67,49.68,None,25.01,0.89,20.58,0.01,None,0.07,0.37,123.35,None,None,24.39,0
17414,12-03-2021 20:00,180.86,385.08,72.03,58.91,82.42,None,25.1,1.27,19.58,0.01,None,0.12,2.12,152.06,4.75,895.56,21.48,0.32
17415,12-03-2021 21:00,169.51,445.8,48.28,35.87,53.51,None,25.38,1.73,19.55,0.03,None,0.16,0.42,135.85,None,None,22.62,0
17416,12-03-2021 22:00,161.78,394.44,70.64,48.38,76.31,None,25.97,2.19,19.43,0.03,0.01,0.2,1.4,96.42,8.22,895.79,21.7,0.32
17417,12-03-2021 23:00,161,417,55.67,28.15,55.31,None,26.1,2.45,19.35,0.02,0.02,0.15,0.54,99.12,None,None,21.66,0
17418,13-03-2021 00:00,133.48,380.6,98.74,31.53,89.05,None,26.36,2.52,18.98,0.04,0.06,0.2,0.58,89.12,None,None,21.09,0
17419,13-03-2021 01:00,121.5,339.31,97.12,30.61,87.36,None,26.57,2.37,18.85,0.04,0.08,0.27,0.65,103.64,None,None,20.68,0
17420,13-03-2021 02:00,101.07,403,93.71,25.99,82.58,0.02,26.59,2.07,18.86,0.03,0.07,0.28,0.44,98.27,None,None,20.2,0
17421,13-03-2021 03:00,99.75,264.29,95.29,20.94,81.33,0.04,27.09,1.86,18.92,0.02,None,0.27,0.49,98.56,None,None,19.92,0
17422,13-03-2021 04:00,97.78,244.93,94.61,18.21,79.55,0.12,27.2,1.68,19.01,0.02,None,0.28,0.51,92.83,None,None,19.69,0
17423,13-03-2021 05:00,100.33,221.64,89.12,17.79,75.18,0.35,27.07,1.52,18.84,0.02,None,0.29,0.49,116.68,6.33,None,19.31,0
17424,13-03-2021 06:00,103.06,194.59,86.1,16.64,72.34,0.11,27.06,1.41,19.1,0.03,None,0.28,0.71,86.76,58.06,None,20.18,0
17425,13-03-2021 07:00,119.91,238.56,64.52,23.34,59.48,1.35,27.13,1.34,18.81,0.01,None,0.15,0.51,114.16,201.24,None,23.48,0
17426,13-03-2021 08:00,134.11,278,32.66,30.66,39.65,2.01,26.5,1.24,18.72,0.02,0.03,0.13,0.44,222.25,366.56,None,27.59,0
17427,13-03-2021 09:00,104.24,175.8,18.31,22.3,20.53,2.72,26.23,1.11,19.03,0.03,0.03,0.21,1.25,101.56,506.45,None,27.51,0
17428,13-03-2021 10:00,93.19,154.33,1.34,15.42,8.23,1.08,25.66,0.96,18.98,0.02,0.02,0.19,1.49,74.29,614.98,None,28.05,0
17429,13-03-2021 11:00,78.31,127.34,0.23,15.27,7.15,0.06,24.98,0.8,22.43,0.02,None,0.14,1.88,263.94,648.61,972.42,28.36,0.29
17430,13-03-2021 12:00,57.8,96.8,None,8.32,3.49,None,24.6,0.65,22.97,0.02,None,0.11,1.53,221.61,632.51,None,30.27,0
17431,13-03-2021 13:00,54.03,80.21,0.02,6.84,2.87,None,24.34,0.56,23.77,0.02,None,0.09,1.74,287.76,529.34,None,30.91,0
17432,13-03-2021 14:00,48.55,88.53,0.03,6.64,2.82,None,24.49,0.5,24.92,0.01,None,0.06,3.1,269.6,378.58,903.29,30,0.29
17433,13-03-2021 15:00,51.3,101.4,0.03,7.76,3.3,0.04,24.96,0.5,25.23,0,None,0.04,2.76,269.41,194.3,None,30.2,0
17434,13-03-2021 16:00,47.67,107.2,0.03,9.02,3.95,None,24.49,0.53,24.59,0.01,None,0.02,2.41,253.97,44.75,None,28.93,0
17435,13-03-2021 17:00,54.06,128.08,None,10.19,4.4,None,24.41,0.58,24.18,0.01,None,0.05,1.92,239.19,4.33,892.2,26.83,0.32
17436,13-03-2021 18:00,66,140.17,None,10.07,4.07,0.01,24.37,0.63,26.08,0.01,None,0.06,4.03,249.91,None,None,26.1,0
17437,13-03-2021 19:00,81.5,None,None,9.7,3.77,0.01,24.6,0.64,25.43,0,None,0.05,3.28,237.87,None,None,23.73,0
17438,13-03-2021 20:00,99.55,115.2,None,7.76,2.98,0.08,24.63,0.62,24.3,0,None,0.04,4.04,225.03,8.29,893.38,21.69,0.97
17439,13-03-2021 21:00,68.09,136.22,None,8.46,3.33,None,24.6,0.64,21.81,0.01,None,0.04,1.24,191.25,None,None,23.67,0
17440,13-03-2021 22:00,72.44,117.05,None,8.81,3.71,None,24.98,0.68,20.5,0,None,0.04,0.53,234.44,None,None,22.86,0
17441,13-03-2021 23:00,74,130,0.04,9.2,4.09,None,25.24,0.71,20.13,0.01,None,0.04,0.49,200.89,None,None,22.65,0
17442,14-03-2021 00:00,72.53,126.51,44.15,44.55,54.74,None,24.9,0.79,19.55,0,None,0.02,0.64,92.36,None,None,21.63,0
17443,14-03-2021 01:00,83.63,170.75,29.41,34.21,38.45,None,24.98,0.83,19.24,0.01,None,0.07,0.4,135.03,None,None,21.29,0
17444,14-03-2021 02:00,86.66,199,8.38,23.3,17.68,None,24.64,0.84,19.21,0.01,None,0.08,0.47,163.03,None,None,21.16,0
17445,14-03-2021 03:00,78.66,135.06,12.2,18.38,18.07,0.04,25.06,0.81,19.29,0.01,None,0.08,0.46,180.12,None,None,20.95,0
17446,14-03-2021 04:00,57.75,89.64,8.34,13.62,12.83,0.01,25.1,0.78,19.21,0.01,None,0.07,0.68,217.29,None,None,20.55,0
17447,14-03-2021 05:00,63.33,104.33,4.05,11.99,8.85,0.02,24.91,0.73,19.27,0.01,None,0.07,0.43,148.17,5.56,None,20.13,0
17448,14-03-2021 06:00,66.75,142.39,8.61,15.24,13.87,0.03,25.12,0.72,19.28,0.01,None,0.07,0.62,92.95,64.86,893.52,20.07,0
17449,14-03-2021 07:00,104,266.25,6.25,12.33,10.63,0.12,25.3,0.74,19.49,0.01,None,0.06,0.59,170.45,188.69,None,22.49,0
17450,14-03-2021 08:00,89.33,160.98,3.17,12.13,8.27,None,25.07,0.74,19.54,0,None,0.01,0.99,228.1,356.96,None,24.46,0
17451,14-03-2021 09:00,81.08,153.28,0.76,11.38,5.86,0.1,24.72,0.72,21.07,0.01,None,0.05,1.65,263.88,519.84,None,25.3,0
17452,14-03-2021 10:00,66.64,138.67,0.01,10.16,4.46,0.06,24.8,0.68,23.61,0.01,None,0.03,1.99,272.2,628.59,None,26.08,0
17453,14-03-2021 11:00,62.95,121.97,None,8.8,3.85,0.03,24.88,0.61,24.62,0,None,0.02,2.7,240,660.02,878.43,25.95,0
17454,14-03-2021 12:00,56.78,108.59,0.03,7.11,3,0.03,24.84,0.56,25.98,0.01,None,None,3.5,251.78,664.93,None,27.69,0
17455,14-03-2021 13:00,53.5,117.14,0.01,6.07,2.47,None,24.23,0.5,26.93,0,None,None,4.59,244.99,550.77,846.98,28.56,0.32
17456,14-03-2021 14:00,42,97.64,None,6.2,2.47,None,23.88,0.43,27.67,0.01,None,0.06,4.32,256.07,434.98,890,28.46,0.32
17457,14-03-2021 15:00,29.05,83.22,None,6.45,2.55,None,24,0.4,26.62,0.01,None,0.06,3.81,265.61,265.69,889.81,28.35,0.32
17458,14-03-2021 16:00,27.53,71.69,None,7.25,2.92,None,24.23,0.39,24.91,0.01,None,0.03,2.29,274.36,88.1,889.78,27.71,0.32
17459,14-03-2021 17:00,36.33,81.58,6.97,18.14,9.57,None,23.94,0.41,22.24,0.01,None,0.06,0.79,247.81,8.46,None,27.29,0
17460,14-03-2021 18:00,69,142.2,4.27,52.41,27.59,None,24.47,0.58,19.72,0.03,None,None,0.29,133.59,None,None,25.7,0
17461,14-03-2021 19:00,164.5,331.44,38.72,56.07,56.26,None,24.75,0.93,19.66,0.01,None,0.06,0.47,128.69,None,None,24.45,0
17462,14-03-2021 20:00,222.49,620,88.56,69.6,99.99,None,25.21,1.33,19.4,0.02,None,0.1,0.64,106.29,None,None,23.62,0
17463,14-03-2021 21:00,205.8,726.2,97.47,66.02,104.9,None,25.21,1.69,19.18,0.03,None,0.15,0.6,108.46,None,None,22.91,0
17464,14-03-2021 22:00,171.67,559.58,57.75,42.03,63.37,2.46,25.43,1.89,19.15,0.03,None,0.17,1.27,86.11,None,None,22.48,0
17465,14-03-2021 23:00,139,501,0.25,8.83,3.81,2.79,25.29,1.68,19.09,0.03,None,0.17,1.61,77.7,None,None,21.36,0
17466,15-03-2021 00:00,44,782.4,3.18,10.72,7.34,0.49,24.82,1.3,19.16,0,0.01,0.07,0.78,101.15,None,None,20.86,0
17467,15-03-2021 01:00,39.45,650.53,2.97,12.57,8.21,0.03,24.74,1.1,19.52,0.01,None,0.09,1.12,100.5,4.75,891.81,19.48,0.32
17468,15-03-2021 02:00,28.58,440.33,1.46,12.14,7,None,24.66,0.92,19.78,0.01,None,0.1,0.4,107.61,1.44,877.58,19.47,0
17469,15-03-2021 03:00,31.97,247.97,2.08,11.96,7.32,0.03,24.54,0.79,19.7,0.01,None,0.09,0.63,85.86,None,None,19.78,0
17470,15-03-2021 04:00,32.86,224.83,1.2,10.71,5.95,0.04,24.91,0.67,19.83,0.01,None,0.08,0.67,79.83,None,None,19.69,0
17471,15-03-2021 05:00,27,131,0.34,9.58,4.66,None,24.81,0.59,20.11,0,None,0.07,0.83,102.94,0.67,None,19.4,0
17472,15-03-2021 06:00,34.8,127.03,0.58,8.87,4.63,None,24.84,0.54,20.01,0,None,0.06,0.65,89.39,40.88,None,19.99,0
17473,15-03-2021 07:00,51.77,154.67,1.53,13.01,7.45,0.06,24.94,0.55,19.73,0,None,0.05,1.01,129.28,166.15,886.45,20.71,0.68
17474,15-03-2021 08:00,93.67,249.72,0.46,14.86,7.59,0.03,25.03,0.58,20.79,0,None,0.03,1.05,85.13,330.66,None,24.19,0
17475,15-03-2021 09:00,82.78,186.22,0.07,9.81,4.43,None,24.6,0.59,21.42,0.01,None,0.04,1.42,87.43,465.8,None,25.23,0
17476,15-03-2021 10:00,58.42,164.4,0.02,9.48,4.16,0.03,24.33,0.6,23.55,0.01,None,0.04,1.9,99.07,573.74,None,26.45,0
17477,15-03-2021 11:00,55.3,140.69,None,8.24,3.48,0.07,24.31,0.58,23.64,0.01,None,0.04,1.87,127.12,606.2,961.66,26.63,0.32
17478,15-03-2021 12:00,49.97,129.56,0.06,8.26,3.61,None,24.23,0.57,24.36,0.01,None,0.04,1.55,138.19,507.23,860.19,29.17,0
17479,15-03-2021 13:00,43.17,120.31,0.05,5.86,2.5,None,24.02,0.52,25.54,0,None,0.04,2.04,215.06,498.67,901.98,29.3,0
17480,15-03-2021 14:00,42,102.08,0.03,6.25,2.56,None,24.18,0.49,24.89,0,None,0.03,1.35,206.89,380.11,None,29.63,0
17481,15-03-2021 15:00,48.89,105.71,0.04,6.51,2.75,None,24.08,0.49,24.55,0,None,0.02,1.05,231.23,190.62,None,29.51,0
17482,15-03-2021 16:00,51.45,119.61,0.03,8.78,3.83,None,23.91,0.49,23.64,0.01,None,None,0.75,282.34,69.31,875.74,27.95,0.36
17483,15-03-2021 17:00,59.5,124.06,5.41,54.82,29.38,None,23.95,0.55,21.97,0,None,None,1.24,222.85,9.84,890.17,25.88,0.32
17484,15-03-2021 18:00,105.14,197.28,8.64,62.76,36.98,None,23.92,0.75,20.81,0.02,None,0.04,0.64,133.66,None,None,25.95,0
17485,15-03-2021 19:00,183.03,360,47.03,82.55,75.29,None,24.63,1.06,20.2,0.01,None,0.09,1.45,115.92,9.25,877.56,24.23,0.36
17486,15-03-2021 20:00,178.31,397.64,77.75,91.59,102.65,None,25.14,1.38,19.51,0.02,None,0.15,0.79,85.42,None,None,24.74,0
17487,15-03-2021 21:00,155.17,372.78,82.2,78.36,99.51,None,24.99,1.68,19.31,0.03,None,0.2,0.58,106.25,None,None,24.47,0
17488,15-03-2021 22:00,146.83,380.17,10.5,49.14,31.73,None,24.96,1.9,19.37,0.04,None,0.23,0.32,230.39,None,None,23.88,0
17489,15-03-2021 23:00,141,298,39.14,51.32,54.33,None,25.23,2,19.44,0.04,None,0.23,0.39,101.37,None,None,23.29,0
17490,16-03-2021 00:00,138,398.28,38.13,51.57,53.53,None,25.15,2.03,19.1,0.03,0.01,0.22,1.33,81.06,9.25,None,21.87,0.36
17491,16-03-2021 01:00,117.56,336.5,27.59,46.35,43.16,None,25.13,1.93,19.06,0.01,None,0.07,0.55,94.79,None,None,22.18,0
17492,16-03-2021 02:00,104.81,267.36,27.66,49.79,44.89,None,24.98,1.79,19.2,0.03,0.07,0.27,0.69,99.05,None,None,21.85,0
17493,16-03-2021 03:00,102,245.4,60.71,52.19,70.71,None,25.22,1.61,19.14,0.03,0.05,0.26,0.94,85.28,None,None,21.36,0
17494,16-03-2021 04:00,97.78,187.19,38.67,32.73,44.78,None,25.36,1.47,18.91,0.02,None,0.27,0.66,89.72,None,None,21.04,0
17495,16-03-2021 05:00,98.11,194.78,47.97,39.73,54.98,None,25.71,1.35,18.84,0.03,None,0.29,0.59,96.94,6.22,None,20.91,0
17496,16-03-2021 06:00,108.89,209.97,45.52,35.92,51.44,None,25.8,1.28,19.16,0.03,None,0.28,0.6,99.81,51.66,891.83,20.88,0.69
17497,16-03-2021 07:00,134.33,236.75,30.28,26.03,35.31,0.1,25.75,1.25,19.05,0.02,None,0.31,0.4,198.69,164.94,None,23.45,0
17498,16-03-2021 08:00,132.28,242.89,18.16,28.15,27.27,0.15,25.52,1.21,18.87,0.02,None,0.29,0.42,191.5,313.25,None,27.04,0
17499,16-03-2021 09:00,140.78,227.67,5.08,21.26,13.89,0.29,25.3,1.15,19.26,0.01,0.02,0.07,1.4,152.01,433.68,893.46,26.78,0.32
17500,16-03-2021 10:00,120.94,208.06,1.47,17.54,9.01,0.17,24.65,1.05,21.75,0.03,0.04,0.22,2.41,121.98,524.66,893,26.41,0.32
17501,16-03-2021 11:00,110.67,188.33,None,10.96,4.8,0.01,24.07,1.01,24.88,0.03,0.03,0.18,2.58,134.71,616.45,955.71,28.12,0.36
17502,16-03-2021 12:00,81.75,169.4,0.23,11.98,5.54,None,24.6,0.97,25.28,0.02,None,0.13,1.43,201.61,637.89,None,30.32,0
17503,16-03-2021 13:00,77.78,149.36,0.08,9.81,4.42,None,24.8,0.82,26.37,0.02,None,0.1,1.23,163.59,518.05,None,31.16,0
17504,16-03-2021 14:00,70.19,147.44,0.02,8.16,3.63,None,24.44,0.77,23.82,0.01,None,0.08,1.34,227.36,376.52,None,31.04,0
17505,16-03-2021 15:00,74.67,143.25,0.02,8.52,3.77,None,24.43,0.72,24.22,0.01,None,0.07,1.3,257.34,197.39,None,30.73,0
17506,16-03-2021 16:00,81,146.51,0.02,8.05,3.64,None,24.43,0.71,24.86,0.01,None,0.08,1.64,314.38,62.49,None,29.53,0
17507,16-03-2021 17:00,81.67,157.72,None,9.84,4.33,None,23.95,0.71,24.23,0,None,0.03,1.14,275.04,4.55,None,28.26,0
17508,16-03-2021 18:00,95.5,186.33,0.1,41.58,19.54,None,24.16,0.79,21.43,0.01,None,0.06,0.42,140.38,None,834.2,25.82,0
17509,16-03-2021 19:00,151.5,262.05,31.03,79.73,62.03,None,24.34,1.1,20.88,0.01,None,0.09,0.38,45.6,None,801.38,21,0
17510,16-03-2021 20:00,203.03,476.92,45.12,71.85,68.7,None,24.83,1.48,20.05,0.02,None,0.13,None,None,None,None,None,0
17511,16-03-2021 21:00,186.22,516.56,85.77,78.01,102,None,25.16,1.83,19.51,0.03,None,0.17,None,None,None,None,None,0
17512,16-03-2021 22:00,174.82,452.17,74.68,71.41,90.47,None,25.37,2.12,19.37,0.03,None,0.2,None,None,None,None,None,0
17513,16-03-2021 23:00,174.42,393,52.95,58.02,67.75,None,25.4,2.28,19.51,0.03,None,0.23,None,None,None,None,None,0
17514,17-03-2021 00:00,147.44,371.5,22.84,47.18,39.89,0.03,25.53,2.27,19.29,0.03,None,0.22,None,None,None,None,None,0
17515,17-03-2021 01:00,134.11,266.06,17.73,49.15,37.17,0.03,25.5,2.15,19.29,0.01,None,0.1,None,None,None,None,None,0
17516,17-03-2021 02:00,118.81,224.78,15.09,37.7,29.59,None,25.03,1.97,19.34,0.02,0.03,0.15,None,None,None,None,None,0
17517,17-03-2021 03:00,112.59,192.16,7.96,41.81,26.31,None,24.84,1.78,19.36,0.03,0.01,0.17,None,None,None,None,None,0
17518,17-03-2021 04:00,119.22,194.97,13.68,22.5,21.14,0.08,25.14,1.61,19.23,0.03,0.01,0.15,None,None,None,None,None,0
17519,17-03-2021 05:00,138.59,230.97,16.59,18.19,21.22,None,25.03,1.47,19.05,0.02,None,0.15,None,None,None,None,None,0
17520,17-03-2021 06:00,146.28,216.94,55,40.85,60.88,None,25.1,1.39,19.11,0.03,None,0.14,None,None,None,None,None,0
17521,17-03-2021 07:00,152.67,289.17,24.93,25.84,31.18,None,25.23,1.35,18.95,0.01,None,0.15,None,None,None,None,None,0
17522,17-03-2021 08:00,149.26,255.42,14,24.94,22.46,0.03,25.64,1.31,19.33,0.02,None,0.14,None,None,None,None,None,0
17523,17-03-2021 09:00,145,241.47,6.81,22.44,15.96,None,25.27,1.25,18.86,0.01,0.01,0.09,None,None,None,None,None,0
17524,17-03-2021 10:00,114.33,212.72,0.53,15.04,7.11,None,24.37,1.1,20.55,0.02,0.01,0.07,None,None,None,None,None,0
17525,17-03-2021 11:00,89.25,172.54,0.06,11.41,5.2,None,24.21,0.95,24.38,0.01,None,0.1,None,None,None,None,None,0
17526,17-03-2021 12:00,72.56,149.19,None,9.14,3.89,None,24.08,0.82,25.02,0.02,None,0.08,None,None,None,None,None,0
17527,17-03-2021 13:00,69.61,143.44,None,9.8,4.16,None,24.35,0.73,24.92,0.02,None,0.07,None,None,None,None,None,0
17528,17-03-2021 14:00,77.89,154.03,0.04,8.95,3.91,None,24.2,0.71,23.9,0.01,None,0.06,None,None,None,None,None,0
17529,17-03-2021 15:00,79.67,171.69,0.01,7.46,3.22,None,24.2,0.71,22.98,0.02,None,0.05,None,None,None,None,None,0
17530,17-03-2021 16:00,72.7,153.44,0.03,8.07,3.41,None,24.15,0.7,23.8,0.01,None,0.05,None,None,None,None,None,0
17531,17-03-2021 17:00,74.13,165.17,None,24.48,11.06,None,23.78,0.71,22.9,0.01,None,0.04,None,None,None,None,None,0
17532,17-03-2021 18:00,104.19,231.86,27.1,84.8,56.26,None,23.92,0.95,20.11,0.01,None,0.03,None,None,None,None,None,0
17533,17-03-2021 19:00,184.14,398.72,63.59,92.51,92.51,None,24.47,1.47,19.61,0.02,None,0.13,None,None,None,None,None,0
17534,17-03-2021 20:00,215.44,501.06,85.12,101.27,112.8,None,24.78,1.88,19.36,0.02,None,0.18,None,None,None,None,None,0
17535,17-03-2021 21:00,190.09,421.36,65.1,87.32,91.14,None,25.04,2.2,19.18,0.03,None,0.21,None,None,None,None,None,0
17536,17-03-2021 22:00,162.36,327.56,79.79,87.43,102.14,None,25.28,2.46,19.06,0.04,None,0.25,None,None,None,None,None,0
17537,17-03-2021 23:00,187,380,71.99,78.08,91.7,None,25.22,2.62,19,0.03,None,0.25,None,None,None,None,None,0
17538,18-03-2021 00:00,161.53,384.31,51.89,72.94,74.21,None,25.8,2.62,19.22,0.03,None,0.25,None,None,None,None,None,0
17539,18-03-2021 01:00,143,300.19,53.52,72.17,75.13,None,25.42,2.46,19.08,0.03,None,0.24,None,None,None,None,None,0
